ID,Mortality
155,0.2000000027528798
156,0.19999999864770893
156,0.19999999903336696
156,0.19999999810073157
157,0.20000000346314428
157,0.20000000328583703
157,0.20000000338485813
157,0.2000000037007844
158,0.1999999973276669
158,0.19999999772210228
158,0.19999999724570403
159,0.19999999711979197
159,0.19999999702566987
159,0.19999999754785505
160,0.2000000006321223
160,0.20000000126399164
160,0.20000000076891336
160,0.19999999926204493
160,0.19999999859403714
160,0.19999999751887465
160,0.19999999918841835
161,0.19999999639919303
161,0.20000000051765335
161,0.20000000065679452
161,0.19999999968674517
162,0.1999999970269219
162,0.19999999705228208
162,0.1999999968879116
169,0.19999999784392303
169,0.19999999781770525
169,0.19999999837082358
170,0.19999999690159317
170,0.19999999696086304
170,0.19999999688070227
170,0.1999999968961065
170,0.19999999708459762
171,0.1999999979420522
171,0.19999999789265988
172,0.1999999964925032
173,0.19999999700766458
175,0.19999999759419476
175,0.19999999639919303
175,0.19999999639919303
175,0.19999999639919303
176,0.19999999951548206
176,0.19999999954851214
176,0.19999999948803251
177,0.19999999642055236
181,0.1999999972362449
181,0.19999999724336143
181,0.1999999972313724
181,0.1999999972353535
182,0.1999999995601703
